Replay Name,Replay GUID,Replay Path,JSON Path
01D9BAE24C052FDE5247E0A467FCAB63.replay,E3B7B81E11E8E702F2499991A76F5C8B,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Replays/01D9BAE24C052FDE5247E0A467FCAB63.replay,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Decompiled Replays//01D9BAE24C052FDE5247E0A467FCAB63.json
0EAA2D304B2C3C26C6020C884F5434CE.replay,08C1F3CA11E8E705CCE0E79BB78C084D,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Replays/0EAA2D304B2C3C26C6020C884F5434CE.replay,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Decompiled Replays//0EAA2D304B2C3C26C6020C884F5434CE.json
19A5A810483FEC5A2D0AE7A06F517DFC.replay,FF7A975A11E8E6EA396D82BF68244BC6,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Replays/19A5A810483FEC5A2D0AE7A06F517DFC.replay,/Users/Joseph/Documents/GitHub/CalculatedGG-Uploader/Test Files/Decompiled Replays//19A5A810483FEC5A2D0AE7A06F517DFC.json
